country	demonym
afghanistan	afghan
albania	albanian
algeria	algerian
andorra	andorran
angola	angolan
anguilla	anguillan
antigua	antiguans
barbuda	barbudans
argentina	argentine
armenia	armenian
australia	australian
austria	austrian
azerbaijan	azerbaijani
bahamas	bahamian
bahrain	bahraini
bangladesh	bangladeshi
barbados	barbadian
belarus	belarusian
belgium	belgian
belize	belizean
benin	beninese
bermuda	bermudian
bhutan	bhutanese
bolivia	bolivian
bosnia	bosnian
herzegovina	herzegovinian
botswana	batswana
brazil	brazilian
brunei	bruneian
bulgaria	bulgarian
burkina	burkinabe
burundi	burundian
cambodia	cambodian
cameroon	cameroonian
canada	canadian
chad	chadian
chile	chilean
china	chinese
colombia	colombian
comoros	comoran
congo	congolese
croatia	croat
cuba	cuban
cyprus	cypriot
czech	czech
denmark	dane
djibouti	djibouti
dominica	dominican
ecuador	ecuadorean
egypt	egyptian
england	english
eritrea	eritrean
estonia	estonian
ethiopia	ethiopian
fiji	fijian
finland	finn
france	french
gabon	gabonese
gambia	gambian
georgia	georgian
germany	german
ghana	ghanaian
gibraltar	gibraltarian
greece	greek
greenland	greenlander
grenada	grenadian
guadeloupe	guadeloupean
guatemala	guatemalan
guinea	guinean
guinea-bissau	guinea-bissauan
guyana	guyanese
haiti	haitian
honduras	honduran
hungary	hungarian
iceland	icelander
india	indian
indonesia	indonesian
iran	iranian
iraq	iraqi
ireland	irish
israel	israeli
italy	italian
jamaica	jamaican
japan	japanese
jordan	jordanian
kazakhstan	kazakhstani
kenya	kenyan
kiribati	i-kiribati
korea	korean
kuwait	kuwaiti
kyrgyz	kirghiz
laos	lao
latvia	latvian
lebanon	lebanese
lesotho	basotho
liberia	liberian
libya	libyan
liechtenstein	liechtensteiner
lithuania	lithuanian
luxembourg	luxembourger
macedonia	macedonian
madagascar	malagasy
malawi	malawian
malaysia	malaysian
maldives	maldivan
mali	malian
malta	maltese
martinique	martinican
mauritania	mauritanian
mauritius	mauritian
mayotte	mahorais
mexico	mexican
micronesia	micronesian
moldova	moldovan
monaco	monacan
mongolia	mongolian
montserrat	montserratian
morocco	moroccan
mozambique	mozambican
myanmar	myanmarese
burma	burmese
namibia	namibian
nauru	nauruan
nepal	nepalese
netherlands	dutch
nicaragua	nicaraguan
niger	nigerien
nigeria	nigerian
norway	norwegian
oman	omani
pakistan	pakistani
palau	palauan
palestine	palestinian
panama	panamanian
paraguay	paraguayan
peru	peruvian
philippines	filipino
poland	pole
portugal	portuguese
qatar	qatari
reunion	reunionese
romania	romanian
russia	russian
rwanda	rwandan
samoa	samoan
scotland	scottish
senegal	senegalese
serbia	montenegrin
montenegro	serbian
seychelles	seychellois
singapore	singaporean
slovakia	slovak
slovenia	slovene
somalia	somali
spain	spaniard
sudan	sudanese
suriname	surinamer
swaziland	swazi
sweden	swede
switzerland	swiss
syria	syrian
taiwan	taiwanese
tajikistan	tajik
tanzania	tanzanian
thailand	thai
togo	togolese
tonga	tongan
trinidad	trinidadian
tobago	tobagonian
tunisia	tunisian
turkey	turk
turkmenistan	turkmen
tuvalu	tuvaluan
uganda	ugandan
ukraine	ukrainian
uruguay	uruguayan
uzbekistan	uzbek
vanuatu	ni-vanuatu
venezuela	venezuelan
vietnam	vietnamese
wales	welsh
yemen	yemeni
zambia	zambian
zimbabwe	zimbabwean
